"OID","Objective Name","Status","SDID","SD Name"
"O-000321","2 seconds","Active","SD-000457","Ta"
"O-000322","2 seconds","Active","SD-000473","Tolerance"
"O-000323","2 seconds - medium preferred item","Active","SD-000457","Ta"
"O-000324","2 seconds - non preferred item","Active","SD-000457","Ta"
"O-000325","2 seconds - preferred item","Active","SD-000457","Ta"
"O-000326","2 Shapes","Active","SD-000049","Colouring"
"O-000327","2 shapes","Active","SD-000219","Imitation"
"O-000328","2 shapes","Active","SD-000367","Receptive"
"O-000329","2 Shapes","Active","SD-000300","Pasting"
"O-000330","2 Snips","Active","SD-000062","Cutting"
"O-000331","2 statements","Active","SD-000229","Instruction"
"O-000332","2 statements","Active","SD-000448","Statement"
"O-000333","2 step","Active","SD-000004","2 step rec. instr."
"O-000334","2 Step ahh eee","Active","SD-000222","Imitation"
"O-000335","2 step ahh ooo","Active","SD-000222","Imitation"
"O-000336","2 step chain","Active","SD-000309","Planned model w item at table"
"O-000337","2 step chain","Active","SD-000310","Planned model w item in play"
"O-000338","2 Step Chain","Active","SD-000041","Change aspect of play"
"O-000339","2 Step Chain","Active","SD-000311","Planned model with toy"
"O-000340","2 step chain","Active","SD-000308","Planned model w item"
"O-000341","2 step fine motor","Active","SD-000306","Planned model"
"O-000342","2 Step ooo eee","Active","SD-000222","Imitation"
"O-000343","2 Steps","Active","SD-000013","Action"
"O-000344","2 Steps","Active","SD-000015","Action w item"
"O-000345","2 steps","Active","SD-000204","Holding hands"
"O-000346","2 steps","Active","SD-000291","Not holding hands"
"O-000347","2 tasks - both highly preferred","Active","SD-000070","Do schedule"
"O-000348","2 tasks - less then highly preferred","Active","SD-000070","Do schedule"
"O-000349","2 tasks - moderately then highly preferred","Active","SD-000070","Do schedule"
"O-000350","2 tasks (close ended)","Active","SD-000070","Do schedule"
"O-000351","2 tasks (open ended)","Active","SD-000070","Do schedule"
"O-000352","2 tokens","Active","SD-000466","Token board"
"O-000353","2 Tubs F10","Active","SD-000213","Identical"
"O-000354","2 Tubs F10","Active","SD-000289","Non-Identical"
"O-000355","2 Tubs F10","Active","SD-000050","Colours"
"O-000356","2 Tubs F2","Active","SD-000213","Identical"
"O-000357","2 Tubs F2","Active","SD-000289","Non-Identical"
"O-000358","2 Tubs F2","Active","SD-000050","Colours"
"O-000359","2 Tubs F4","Active","SD-000213","Identical"
"O-000360","2 Tubs F4","Active","SD-000289","Non-Identical"
"O-000361","2 Tubs F4","Active","SD-000050","Colours"
"O-000362","2 Tubs F6","Active","SD-000213","Identical"
"O-000363","2 Tubs F6","Active","SD-000289","Non-Identical"
"O-000364","2 Tubs F6","Active","SD-000050","Colours"
"O-000365","2 Tubs F8","Active","SD-000213","Identical"
"O-000366","2 Tubs F8","Active","SD-000289","Non-Identical"
"O-000367","2 Tubs F8","Active","SD-000050","Colours"
"O-000368","2 word","Active","SD-000054","Communication opportunity"
"O-000369","2 Words","Active","SD-000248","List words"
"O-000370","2 worksheets","Active","SD-000519","Worksheet"
"O-000371","2.5min","Active","SD-000296","Parent leaves (inside)"
"O-000372","20 minutes after","Active","SD-000437","Signicant activity"
"O-000373","20 sec","Active","SD-000297","Parents leave (outside)"
"O-000374","20 seconds","Active","SD-000328","Program stimuli"
"O-000375","20 seconds","Active","SD-000516","With visual"
"O-000376","20 seconds","Active","SD-000515","With gesture"
"O-000377","20 seconds","Active","SD-000412","Reinforcing item"
"O-000378","20 seconds","Active","SD-000283","No item"
"O-000379","20 seconds","Active","SD-000037","Brushing teeth"
"O-000380","20 seconds","Active","SD-000457","Ta"
"O-000381","20 seconds","Active","SD-000253","Mat time"
"O-000382","20 seconds","Active","SD-000505","Wait w visual"
"O-000383","20 seconds","Active","SD-000473","Tolerance"
"O-000384","20 seconds - non preferred item","Active","SD-000457","Ta"
"O-000385","20 seconds - preferred item","Active","SD-000457","Ta"
"O-000386","20 seconds - reintro","Active","SD-000473","Tolerance"
"O-000387","20min","Active","SD-000296","Parent leaves (inside)"
"O-000388","20sec","Active","SD-000296","Parent leaves (inside)"
"O-000389","20sec","Active","SD-000225","In Sight"
"O-000390","20sec Hand/Arm","Active","SD-000467","Tolerance"
"O-000391","2cm strip .5cm line","Active","SD-000064","Cutting on line"
"O-000392","2cm strip 1cm line","Active","SD-000064","Cutting on line"
"O-000393","2cm strip 2cm line","Active","SD-000064","Cutting on line"
"O-000394","2D item","Active","SD-000325","Present item"
"O-000395","2m","Active","SD-000029","Between 2 people"
"O-000396","2m","Active","SD-000330","Put it down"
"O-000397","2m","Active","SD-000003","2 items"
"O-000398","2m","Active","SD-000001","1 person"
"O-000399","2m","Active","SD-000238","Item"
"O-000400","2m","Active","SD-000507","Walk properly"
"O-000401","2m away","Active","SD-000228","Instruction"
"O-000402","2min","Active","SD-000296","Parent leaves (inside)"
"O-000403","2min Face","Active","SD-000467","Tolerance"
"O-000404","2s","Active","SD-000495","Visual"
"O-000405","2sec","Active","SD-000296","Parent leaves (inside)"
"O-000406","2sec","Active","SD-000225","In Sight"
"O-000407","2sec Hand/Arm","Active","SD-000467","Tolerance"
"O-000408","3 Activities","Active","SD-000021","Activity"
"O-000409","3 Activities","Active","SD-000069","Do (activity)"
"O-000410","3 items","Active","SD-000061","Count (items)"
"O-000411","3 items","Active","SD-000059","Contextual Instruction"
"O-000412","3 metres","Active","SD-000204","Holding hands"
"O-000413","3 mins","Active","SD-000505","Wait w visual"
"O-000414","3 minute","Active","SD-000073","Eat food"
"O-000415","3 minutes","Active","SD-000253","Mat time"
"O-000416","3 minutes","Active","SD-000413","rest time"
"O-000417","3 minutes","Active","SD-000471","Tolerance"
"O-000418","3 minutes after","Active","SD-000437","Signicant activity"
"O-000419","3 Numbers","Active","SD-000247","List Numbers"
"O-000420","3 pictures","Active","SD-000436","Show items/pictures"
"O-000421","3 pieces of info","Active","SD-000370","Receptive"
"O-000422","3 pieces of info including attribute","Active","SD-000370","Receptive"
"O-000423","3 pieces of info including preposition","Active","SD-000370","Receptive"
"O-000424","3 sec","Active","SD-000297","Parents leave (outside)"
